epoch,train_loss,valid_loss,validation,targeted_validation,div_metric,fool_loss,time
230,6.363917,6.522283,0.783000,0.045000,505.250000,6.522284,04:34
231,6.301117,6.523149,0.735000,0.047000,489.500000,6.523148,04:36
232,6.480898,6.496565,0.766000,0.049000,476.500000,6.496565,04:38
233,6.303298,6.530147,0.753000,0.043000,475.000000,6.530147,04:41
234,6.351872,6.511422,0.738000,0.051000,492.000000,6.511423,04:38
235,6.344348,6.450787,0.757000,0.048000,531.750000,6.450786,04:38
236,6.388704,6.526017,0.762000,0.053000,515.000000,6.526017,04:36
237,6.394736,6.463246,0.762000,0.055000,524.750000,6.463245,04:36
238,6.273753,6.454063,0.756000,0.047000,529.750000,6.454065,04:59
239,6.375857,6.422483,0.769000,0.050000,525.250000,6.422483,04:40
240,6.339374,6.378009,0.750000,0.046000,507.500000,6.378009,04:44
241,6.293859,6.358641,0.760000,0.061000,506.500000,6.358641,04:43
242,6.359615,6.436723,0.747000,0.058000,496.000000,6.436724,04:40
243,6.269862,6.392013,0.754000,0.053000,516.500000,6.392012,04:37
244,6.301818,6.448770,0.744000,0.047000,525.750000,6.448769,04:44
245,6.209547,6.477392,0.762000,0.054000,519.500000,6.477392,04:44
246,6.338240,6.498718,0.751000,0.054000,529.500000,6.498719,04:44
247,6.361839,6.497993,0.756000,0.052000,520.750000,6.497993,04:42
248,6.279968,6.416619,0.742000,0.060000,524.000000,6.416618,04:41
249,6.307308,6.525672,0.754000,0.055000,533.750000,6.525671,04:42
250,6.258801,6.414757,0.744000,0.059000,535.750000,6.414757,04:36
251,6.304656,6.463956,0.745000,0.051000,518.250000,6.463956,04:32
252,6.283323,6.347963,0.760000,0.056000,518.250000,6.347963,04:30
253,6.250575,6.406630,0.760000,0.055000,536.750000,6.406629,04:32
254,6.241273,6.319076,0.762000,0.061000,526.500000,6.319076,04:34
255,6.243436,6.457142,0.762000,0.056000,539.500000,6.457141,04:32
256,6.261661,6.465726,0.741000,0.061000,538.750000,6.465726,04:36
257,6.211912,6.407575,0.746000,0.051000,530.000000,6.407576,04:40
258,6.201748,6.447407,0.748000,0.049000,515.500000,6.447406,04:40
259,6.281465,6.553735,0.745000,0.047000,501.250000,6.553736,04:36
260,6.235224,6.374625,0.753000,0.071000,495.250000,6.374626,04:57
261,6.289787,6.390196,0.769000,0.068000,502.000000,6.390196,04:37
262,6.209098,6.397140,0.768000,0.049000,496.250000,6.397140,04:43
263,6.350676,6.389633,0.743000,0.070000,511.750000,6.389633,04:35
264,6.361687,6.406532,0.761000,0.065000,531.500000,6.406532,04:44
265,6.195429,6.282057,0.748000,0.059000,515.000000,6.282057,04:38
266,6.175705,6.345965,0.751000,0.062000,535.250000,6.345966,05:02
267,6.297840,6.395018,0.757000,0.060000,526.250000,6.395017,04:42
268,6.233834,6.392441,0.763000,0.075000,520.250000,6.392440,05:00
269,6.178417,6.268953,0.761000,0.065000,517.000000,6.268954,04:49
270,6.229392,6.279645,0.766000,0.075000,529.250000,6.279646,04:38
271,6.259109,6.404143,0.752000,0.051000,522.750000,6.404142,04:39
272,6.101668,6.374172,0.766000,0.065000,521.250000,6.374171,04:44
273,6.206918,6.316120,0.761000,0.070000,523.500000,6.316120,04:40
274,6.163666,6.439300,0.755000,0.055000,517.250000,6.439299,04:39
275,6.132830,6.366061,0.766000,0.059000,529.250000,6.366062,04:38
276,6.275335,6.408692,0.755000,0.070000,526.000000,6.408691,04:37
277,6.239698,6.399448,0.749000,0.061000,539.250000,6.399447,04:38
278,6.146102,6.294051,0.753000,0.066000,538.250000,6.294051,04:53
279,6.208542,6.397338,0.749000,0.060000,532.000000,6.397338,04:43
280,6.225569,6.359525,0.747000,0.063000,546.750000,6.359525,04:43
281,6.203074,6.330126,0.755000,0.061000,539.750000,6.330125,04:36
282,6.097723,6.276212,0.753000,0.068000,514.750000,6.276213,04:39
283,6.270580,6.310764,0.749000,0.070000,533.000000,6.310765,04:30
284,6.218575,6.413480,0.763000,0.057000,533.750000,6.413480,04:06
285,6.137095,6.364607,0.763000,0.065000,535.000000,6.364609,04:16
286,6.171246,6.364039,0.753000,0.059000,519.250000,6.364039,04:10
287,6.148917,6.295590,0.759000,0.075000,541.750000,6.295590,04:08
288,6.234224,6.337027,0.747000,0.066000,551.250000,6.337025,04:25
289,6.201276,6.454437,0.764000,0.068000,541.250000,6.454437,04:08
290,6.223858,6.303246,0.760000,0.055000,537.250000,6.303247,04:09
291,6.178616,6.325010,0.773000,0.076000,519.500000,6.325010,04:22
292,6.128288,6.312385,0.746000,0.066000,534.500000,6.312384,04:24
293,6.193130,6.292354,0.746000,0.068000,524.750000,6.292355,04:10
294,6.106605,6.353352,0.749000,0.065000,546.750000,6.353351,04:09
295,6.118202,6.377571,0.753000,0.065000,547.250000,6.377570,04:22
296,6.110055,6.371422,0.747000,0.058000,542.500000,6.371421,04:09
297,6.292012,6.386189,0.744000,0.058000,554.250000,6.386189,04:11
298,6.056888,6.283006,0.766000,0.078000,548.750000,6.283006,04:12
299,6.139860,6.329281,0.744000,0.063000,553.000000,6.329280,04:14
300,6.147377,6.242033,0.751000,0.079000,546.250000,6.242033,04:13
301,6.251343,6.305127,0.754000,0.072000,557.500000,6.305128,04:07
302,6.009097,6.234246,0.747000,0.071000,542.000000,6.234246,04:06
303,6.215161,6.317143,0.761000,0.055000,544.250000,6.317142,04:08
304,6.100417,6.255537,0.738000,0.081000,561.750000,6.255536,04:15
305,6.218012,6.214638,0.758000,0.073000,554.500000,6.214639,04:08
306,6.162782,6.336690,0.760000,0.071000,545.000000,6.336689,04:07
307,6.119685,6.251317,0.748000,0.076000,555.500000,6.251317,04:08
308,6.049343,6.138794,0.749000,0.099000,556.000000,6.138793,04:18
309,6.149518,6.227563,0.761000,0.066000,561.000000,6.227561,04:08
310,6.107157,6.249779,0.761000,0.085000,555.750000,6.249779,04:07
311,6.154559,6.281724,0.739000,0.077000,551.250000,6.281723,04:08
312,6.114755,6.426725,0.755000,0.062000,548.000000,6.426726,04:09
313,6.062401,6.228508,0.741000,0.073000,543.750000,6.228508,04:08
314,6.174775,6.306427,0.749000,0.074000,546.750000,6.306427,04:08
315,6.131645,6.267899,0.743000,0.072000,564.750000,6.267899,04:09
316,6.068799,6.249176,0.751000,0.073000,549.750000,6.249177,04:09
317,6.082040,6.269477,0.749000,0.068000,539.250000,6.269477,04:05
318,6.037061,6.221869,0.722000,0.074000,525.500000,6.221869,04:06
319,6.136122,6.190906,0.758000,0.081000,552.000000,6.190907,04:09
320,6.068028,6.262211,0.763000,0.077000,526.750000,6.262210,04:06
321,6.148345,6.232157,0.754000,0.063000,533.000000,6.232158,04:07
322,6.164186,6.157271,0.757000,0.080000,536.500000,6.157272,04:09
323,6.022073,6.209912,0.744000,0.080000,552.500000,6.209912,04:09
324,6.051247,6.185848,0.757000,0.086000,547.500000,6.185848,04:09
325,6.066576,6.289780,0.752000,0.068000,546.500000,6.289780,04:07
326,6.056043,6.236042,0.748000,0.077000,551.250000,6.236042,04:08
327,6.044566,6.156762,0.747000,0.077000,545.000000,6.156764,04:08
328,6.007720,6.217160,0.751000,0.089000,563.250000,6.217160,04:07
329,5.991555,6.274408,0.742000,0.068000,562.500000,6.274407,04:07
330,6.093083,6.222896,0.759000,0.087000,555.000000,6.222895,04:07
331,6.007014,6.198561,0.752000,0.079000,557.500000,6.198561,04:08
332,5.989937,6.232319,0.748000,0.068000,568.250000,6.232320,04:08
333,6.129237,6.213263,0.766000,0.090000,575.000000,6.213263,04:18
334,6.031263,6.151622,0.758000,0.072000,569.750000,6.151622,04:18
335,6.064487,6.224046,0.753000,0.072000,557.000000,6.224047,04:06
336,6.069530,6.265350,0.746000,0.079000,574.250000,6.265350,04:09
337,6.043435,6.244244,0.761000,0.067000,573.500000,6.244245,04:08
338,6.042517,6.125859,0.756000,0.090000,551.750000,6.125860,04:07
339,5.996788,6.210790,0.736000,0.074000,569.750000,6.210789,04:07
340,6.014083,6.123393,0.742000,0.083000,576.750000,6.123394,04:06
341,6.015194,6.168003,0.753000,0.083000,579.250000,6.168003,04:08
342,6.079445,6.153075,0.755000,0.075000,564.500000,6.153074,04:06
343,6.007448,6.165076,0.749000,0.086000,584.500000,6.165075,04:16
344,6.063553,6.263163,0.749000,0.083000,564.000000,6.263164,04:11
345,5.984140,6.186640,0.758000,0.080000,568.250000,6.186641,04:06
346,5.956952,6.072461,0.765000,0.085000,571.500000,6.072461,04:08
347,6.019419,6.163795,0.739000,0.087000,587.750000,6.163795,04:06
348,6.020132,6.268754,0.741000,0.075000,562.750000,6.268755,04:08
349,6.057144,6.118007,0.750000,0.081000,573.500000,6.118007,04:07
350,5.929200,6.185266,0.758000,0.084000,565.750000,6.185266,04:05
351,5.997028,6.215221,0.761000,0.082000,561.500000,6.215220,04:06
352,6.062926,6.163716,0.750000,0.092000,562.000000,6.163717,04:08
353,5.990748,6.177271,0.755000,0.077000,576.250000,6.177272,04:07
354,6.002642,6.202027,0.756000,0.081000,572.500000,6.202026,04:07
355,6.000727,6.214320,0.748000,0.088000,571.750000,6.214319,04:19
356,6.082742,6.174905,0.746000,0.077000,557.250000,6.174904,04:08
357,5.998939,6.141497,0.755000,0.080000,562.000000,6.141496,04:07
358,5.960779,6.089115,0.742000,0.095000,558.250000,6.089115,04:08
359,5.946284,6.155184,0.759000,0.092000,570.750000,6.155183,04:06
360,5.989609,6.164350,0.753000,0.095000,579.750000,6.164350,04:07
361,6.018826,6.107734,0.757000,0.080000,562.750000,6.107733,04:09
362,6.010497,6.074259,0.735000,0.093000,564.250000,6.074259,04:07
363,6.046766,6.113374,0.738000,0.079000,564.750000,6.113374,04:06
364,5.904816,6.192502,0.747000,0.079000,574.250000,6.192502,04:09
365,6.142648,6.132734,0.755000,0.092000,580.250000,6.132734,04:05
366,5.972026,6.175040,0.761000,0.092000,596.000000,6.175041,04:07
367,5.929335,6.247193,0.733000,0.080000,569.250000,6.247193,04:07
368,5.912457,6.137052,0.737000,0.081000,583.250000,6.137052,04:08
369,6.100422,6.028292,0.755000,0.106000,585.750000,6.028293,04:07
370,5.917233,6.138697,0.754000,0.089000,581.000000,6.138697,04:07
371,6.061027,6.147378,0.766000,0.089000,579.000000,6.147378,04:09
372,6.011863,6.125319,0.761000,0.089000,587.500000,6.125319,04:27
373,6.002703,6.172595,0.753000,0.092000,583.500000,6.172596,04:19
374,5.964184,6.092094,0.771000,0.094000,589.750000,6.092093,04:10
375,5.974490,6.068212,0.764000,0.091000,600.750000,6.068212,04:25
376,5.972874,6.130579,0.745000,0.081000,613.250000,6.130579,04:24
377,6.011305,6.072299,0.758000,0.089000,602.250000,6.072299,04:11
378,5.969055,6.097878,0.764000,0.103000,607.250000,6.097877,04:09
379,6.004154,6.136123,0.751000,0.088000,590.750000,6.136123,04:06
380,5.937874,6.101679,0.764000,0.090000,596.500000,6.101680,04:07
381,5.991658,6.017023,0.750000,0.113000,614.750000,6.017023,04:08
382,5.935835,6.046521,0.736000,0.102000,615.500000,6.046521,04:06
383,5.885215,6.178971,0.737000,0.084000,623.000000,6.178972,04:05
